sku,title,category,price,cost,compare_at_price,vendor,quantity
SKU-001,Wireless Noise-Canceling Headphones,Electronics,149.99,62.00,199.99,AudioPro,45
SKU-002,Organic Cotton T-Shirt Navy,Apparel,34.99,12.50,44.99,ThreadCo,120
SKU-003,Stainless Steel Water Bottle 32oz,Home,24.99,8.00,29.99,HydroLife,8
SKU-004,Smart Fitness Tracker Pro,Electronics,89.99,35.00,119.99,TechWear,3
SKU-005,Leather Messenger Bag Brown,Accessories,129.99,48.00,159.99,CraftLeather,67
SKU-006,Yoga Mat Premium 6mm,Fitness,39.99,14.00,49.99,FlexFit,200
SKU-007,LED Desk Lamp Adjustable,Home,54.99,22.00,69.99,BrightHome,15
SKU-008,Running Shoes Elite Black,Footwear,119.99,45.00,149.99,StrideMax,5
SKU-009,Bluetooth Speaker Mini,Electronics,49.99,18.00,59.99,SoundWave,90
SKU-010,Winter Puffer Jacket Gray,Apparel,189.99,75.00,249.99,NorthStyle,150
SKU-011,Ceramic Coffee Mug Set 4pk,Home,29.99,9.00,34.99,KitchenCraft,2
SKU-012,Protein Powder Vanilla 2lb,Health,44.99,16.00,54.99,NutriFuel,35
SKU-013,Wireless Mouse Ergonomic,Electronics,34.99,11.00,39.99,TechWear,55
SKU-014,Silk Scarf Floral,Accessories,59.99,22.00,79.99,LuxeTextiles,180
SKU-015,Camping Lantern Rechargeable,Outdoors,39.99,15.00,49.99,TrailGear,12
SKU-001,Wireless Noise-Canceling Headphones DUPLICATE,Electronics,149.99,62.00,149.99,AudioPro,10
SKU-016,Premium Sunglasses UV400,Accessories,79.99,28.00,99.99,ShadeCo,25
SKU-017,Memory Foam Pillow Queen,Home,59.99,20.00,79.99,SleepWell,140
SKU-018,Resistance Bands Set 5pc,Fitness,24.99,7.00,29.99,FlexFit,4
SKU-019,USB-C Hub 7-in-1,Electronics,45.99,16.00,55.99,TechWear,30
SKU-020,Merino Wool Socks 3-Pack,Apparel,29.99,10.00,,ThreadCo,0
